LU,post_id,gold
dont,1179055004553900032_twitter,0
think,1179055004553900032_twitter,0
im,1179055004553900032_twitter,0
baby,1179055004553900032_twitter,0
j,1179055004553900032_twitter,0
cannot,1179063826874032128_twitter,0
continue,1179063826874032128_twitter,0
feminists,1179063826874032128_twitter,0
rights,1179063826874032128_twitter,0
arent,1179063826874032128_twitter,0
yes,1179063826874032128_twitter,0
public,1179063826874032128_twitter,0
list,1179063826874032128_twitter,0
trans,1179063826874032128_twitter,0
queer,1179063826874032128_twitter,0
enter,1179063826874032128_twitter,0
information,1179063826874032128_twitter,0
reporting,1179063826874032128_twitter,0
gender,1179063826874032128_twitter,0
yall,1178793830532956161_twitter,0
niggers,1178793830532956161_twitter,0
<user>,1179088797964763136_twitter,0
bit,1179088797964763136_twitter,0
coz,1179088797964763136_twitter,0
ppl,1179088797964763136_twitter,0
access,1179088797964763136_twitter,0
twitter,1179088797964763136_twitter,0
chong,1179088797964763136_twitter,1
think,1179088797964763136_twitter,0
pakistani,1179088797964763136_twitter,0
bitch,1179085312976445440_twitter,1
top,1179085312976445440_twitter,0
hate,1179085312976445440_twitter,1
bitches,1179085312976445440_twitter,1
laura,13851720_gab,0
loomer,13851720_gab,0
kike,13851720_gab,1
language,13851720_gab,1
exterminate,13851720_gab,1
goyim,13851720_gab,1
end,24198545_gab,0
nigger,24198545_gab,1
doctors,24198545_gab,0
speak,24198545_gab,0
lack,24198545_gab,0
knowledge,24198545_gab,0
public,24198545_gab,0
knew,24198545_gab,0
jews,14567516_gab,1
dykes,14567516_gab,1
proven,19679648_gab,0
innocent,19679648_gab,0
jew,19679648_gab,1
nigger,19679648_gab,1
lover,19679648_gab,0
support,15858421_gab,0
abortion,15858421_gab,0
stop,15858421_gab,0
niglets,15858421_gab,1
future,15858421_gab,0
doctors,15858421_gab,0
rapists,15858421_gab,1
women,15858421_gab,1
welfare,15858421_gab,1
tax,15858421_gab,1
dollars,15858421_gab,1
democrat,15858421_gab,0
voters,15858421_gab,0
<number>,23844035_gab,0
<percent>,23844035_gab,0
brits,23844035_gab,0
think,23844035_gab,0
multiculturalism,23844035_gab,0
failure,23844035_gab,0
guess,23844035_gab,0
muzzie,23844035_gab,1
master,23844035_gab,0
britain,23844035_gab,0
ben,23844035_gab,0
tariq,1089312238102609921_twitter,0
beating,1089312238102609921_twitter,0
fuck,1089312238102609921_twitter,0
lmao,1089312238102609921_twitter,0
somebody,1089312238102609921_twitter,0
put,1089312238102609921_twitter,0
niggas,1089312238102609921_twitter,0
mouth,1089312238102609921_twitter,0
<percent>,1159278048069464065_twitter,0
avoid,1159278048069464065_twitter,0
contact,1159278048069464065_twitter,0
gay,1159278048069464065_twitter,0
<number>,1170440965888335874_twitter,0
closet,1170440965888335874_twitter,0
gay,1170440965888335874_twitter,0
someone,1170440965888335874_twitter,0
help,1170440965888335874_twitter,0
cute,1104904416430194688_twitter,0
hoes,1104904416430194688_twitter,1
guess,1104904416430194688_twitter,0
fly,1104904416430194688_twitter,0
thots,1104904416430194688_twitter,1
niggas,1122734457230774272_twitter,0
niggas,1084835380619300864_twitter,0
call,1084835380619300864_twitter,0
dick,1084835380619300864_twitter,0
<user>,1178818409812746240_twitter,0
lady,1178818409812746240_twitter,0
nazi,1178818409812746240_twitter,0
supremacist,1178818409812746240_twitter,0
<user>,1178905338386567168_twitter,0
negress,1178905338386567168_twitter,0
women,1178905338386567168_twitter,0
want,1178905338386567168_twitter,0
females,1178905338386567168_twitter,0
america,1178905338386567168_twitter,0
love,1178905338386567168_twitter,0
<user>,18696652_gab,0
drug,18696652_gab,0
use,18696652_gab,0
kike,18696652_gab,1
thanks,18696652_gab,0
<user>,1178692320201527307_twitter,0
people,1178692320201527307_twitter,0
act,1178692320201527307_twitter,0
states,1178692320201527307_twitter,0
americans,1178692320201527307_twitter,0
pro,1178692320201527307_twitter,0
guns,1178692320201527307_twitter,0
support,1178692320201527307_twitter,0
government,1178692320201527307_twitter,0
treatment,1178692320201527307_twitter,0
immigrants,1178692320201527307_twitter,0
foreigners,1178692320201527307_twitter,0
israel,1178692320201527307_twitter,0
logic,1178692320201527307_twitter,0
changes,1178692320201527307_twitter,0
<user>,1178694945319858184_twitter,0
food,1178694945319858184_twitter,0
islam,1178694945319858184_twitter,0
c,1178694945319858184_twitter,0
terrorist,1178694945319858184_twitter,0
land,1178694945319858184_twitter,0
anyways,1178177759971086336_twitter,0
fact,1178177759971086336_twitter,0
france,1178177759971086336_twitter,0
law,1178177759971086336_twitter,0
abt,1178177759971086336_twitter,0
face,1178177759971086336_twitter,0
paris,1178177759971086336_twitter,0
fashion,1178177759971086336_twitter,0
week,1178177759971086336_twitter,0
shows,1178177759971086336_twitter,0
supremacy,1178177759971086336_twitter,0
islamophobia,1178177759971086336_twitter,0
lol,15544666_gab,0
kike,15544666_gab,1
funny,26031285_gab,0
people,26031285_gab,0
word,26031285_gab,0
nigger,26031285_gab,0
